코드,발송일,유형코드,수량,
466200,20170804,1815,6,
466200,20170804,1692,2,
466200,20170804,1878,22,
466200,20170904,1815,12,
466200,20170904,1692,20,
466200,20170904,1878,43,
466200,20170921,1692,14,
466200,20170921,1878,24,
466200,20171011,1815,9,
466200,20171011,1692,6,
466200,20171011,1878,40,
466200,20171025,1878,24,
466200,20171101,1853,1,
466200,20171101,1815,6,
466200,20171101,1692,15,
466200,20171101,1878,27,
466200,20171101,1627,2,
466200,20171115,1878,22,
466200,20171206,1815,11,
466200,20171206,1692,14,
466200,20171206,1878,29,
466200,20171213,1815,1,
466200,20171213,1878,22,
466198,20170814,1692,1,
466198,20171031,1373,1,
466197,20170809,1373,1,
466197,20170823,1373,1,
466197,20170830,1373,1,
466197,20170906,1373,1,
466197,20170913,1373,1,
466197,20170920,1373,1,
466197,20170927,1373,1,
466197,20171011,1373,1,
466197,20171018,1373,1,
466197,20171025,1373,1,
466197,20171108,1373,1,
466197,20171115,1373,1,
466197,20171122,1815,1,
466197,20171129,1373,1,
466197,20171206,1373,1,
466197,20171213,1373,1,
466195,20170815,1815,10,
466195,20170829,1815,8,
466195,20170912,1815,7,
466195,20170926,1815,6,
466195,20171017,1815,3,
466195,20171031,1815,5,
466195,20171114,1815,3,
466195,20171128,1815,3,
466192,20170928,1815,13,
466191,20170829,1815,19,
466191,20170920,1692,3,
466191,20170926,1815,4,
466191,20171018,1815,2,
466191,20171018,1878,1,
466191,20171024,1815,14,
466191,20171122,1815,12,
466191,20171212,1815,2,
466189,20170808,1878,3,
466189,20171024,1878,1,
466189,20171107,1878,1,
466188,20170802,1041,1,
466188,20170913,1041,1,
466188,20171016,1041,1,
466188,20171118,1041,1,
466188,20171120,1041,4,
466188,20171202,1041,1,
466188,20171218,1041,1,
466186,20171020,1815,3,
466186,20171117,1815,4,
466186,20171117,1692,10,
466186,20171208,1692,13,
466185,20170807,1878,5,
466185,20170821,1878,10,
466185,20170828,1878,5,
466185,20170904,1878,5,
466185,20170911,1878,7,
466185,20170918,1878,8,
466185,20171009,1878,9,
466185,20171023,1878,10,
466185,20171030,1878,6,
466185,20171107,1878,6,
466185,20171120,1692,1,
466185,20171120,1878,8,
466185,20171127,1878,6,
466185,20171204,1878,5,
466185,20171218,1878,10,
466184,20170816,1815,15,
466184,20170816,1041,26,
466184,20170822,1815,6,
466184,20170822,1041,5,
466184,20170829,1815,13,
466184,20170829,1041,35,
466184,20170831,1815,1,
466184,20170831,1878,3,
466184,20170905,1815,19,
466184,20170905,1041,16,
466184,20170912,1815,16,
466184,20170912,1041,24,
466184,20170919,1815,7,
466184,20170919,1041,55,
466184,20170926,1815,5,
466184,20170926,1041,20,
